"fileName","variableName","description","unitText"
"benthic_sampling_event_habitat_summaries.csv","total_events","total events",NA
"benthic_sampling_event_habitat_summaries.csv","GravelD50","GravelD50",NA
"benthic_sampling_event_habitat_summaries.csv","GravelPercent","GravelPercent",NA
"benthic_sampling_event_habitat_summaries.csv","log_D50","log D50",NA
"benthic_sampling_event_habitat_summaries.csv","MudPercent","MudPercent",NA
"benthic_sampling_event_habitat_summaries.csv","Rock10cm","Rock10cm",NA
"benthic_sampling_event_habitat_summaries.csv","Rock50cm","Rock50cm",NA
"benthic_sampling_event_habitat_summaries.csv","SandD50","SandD50",NA
"benthic_sampling_event_habitat_summaries.csv","SandPercent","SandPercent",NA
"benthic_sampling_event_habitat_summaries.csv","TotalD50","TotalD50",NA
"benthic_sampling_event_habitat_summaries.csv","Energy_High energy","Energy High energy",NA
"benthic_sampling_event_habitat_summaries.csv","Energy_Low energy","Energy Low energy",NA
"benthic_sampling_event_habitat_summaries.csv","Energy_Moderate energy","Energy Moderate energy",NA
"benthic_sampling_event_habitat_summaries.csv","Energy_No energy information","Energy No energy information",NA
"benthic_sampling_event_habitat_summaries.csv","Energy_NA","Energy NA",NA
"benthic_sampling_event_habitat_summaries.csv","Biozone_Arctic lower bathyal","Biozone Arctic lower bathyal",NA
"benthic_sampling_event_habitat_summaries.csv","Biozone_Arctic mid bathyal","Biozone Arctic mid bathyal",NA
"benthic_sampling_event_habitat_summaries.csv","Biozone_Arctic upper abyssal","Biozone Arctic upper abyssal",NA
"benthic_sampling_event_habitat_summaries.csv","Biozone_Atlantic upper bathyal","Biozone Atlantic upper bathyal",NA
"benthic_sampling_event_habitat_summaries.csv","Biozone_Atlanto-Arctic upper bathyal","Biozone Atlanto-Arctic upper bathyal",NA
"benthic_sampling_event_habitat_summaries.csv","Biozone_Deep circalittoral","Biozone Deep circalittoral",NA
"benthic_sampling_event_habitat_summaries.csv","Biozone_Infralittoral","Biozone Infralittoral",NA
"benthic_sampling_event_habitat_summaries.csv","Biozone_Shallow circalittoral","Biozone Shallow circalittoral",NA
"benthic_sampling_event_habitat_summaries.csv","Biozone_NA","Biozone NA",NA
"benthic_sampling_event_habitat_summaries.csv","Substrate_Coarse substrate","Substrate Coarse substrate",NA
"benthic_sampling_event_habitat_summaries.csv","Substrate_Fine mud","Substrate Fine mud",NA
"benthic_sampling_event_habitat_summaries.csv","Substrate_Fine mud or Sandy mud or Muddy sand","Substrate Fine mud or Sandy mud or Muddy sand",NA
"benthic_sampling_event_habitat_summaries.csv","Substrate_Mixed sediment","Substrate Mixed sediment",NA
"benthic_sampling_event_habitat_summaries.csv","Substrate_Muddy sand","Substrate Muddy sand",NA
"benthic_sampling_event_habitat_summaries.csv","Substrate_Rock or other hard substrata","Substrate Rock or other hard substrata",NA
"benthic_sampling_event_habitat_summaries.csv","Substrate_Sand","Substrate Sand",NA
"benthic_sampling_event_habitat_summaries.csv","Substrate_Sandy mud","Substrate Sandy mud",NA
"benthic_sampling_event_habitat_summaries.csv","Substrate_Sandy mud or Muddy sand","Substrate Sandy mud or Muddy sand",NA
"benthic_sampling_event_habitat_summaries.csv","Substrate_Seabed","Substrate Seabed",NA
"benthic_sampling_event_habitat_summaries.csv","Substrate_Sediment","Substrate Sediment",NA
"benthic_sampling_event_habitat_summaries.csv","Substrate_NA","Substrate NA",NA
"benthic_sampling_event_habitat_summaries.csv","Salinity_Euhaline","Salinity Euhaline",NA
"benthic_sampling_event_habitat_summaries.csv","Salinity_Mesohaline","Salinity Mesohaline",NA
"benthic_sampling_event_habitat_summaries.csv","Salinity_Oligohaline","Salinity Oligohaline",NA
"benthic_sampling_event_habitat_summaries.csv","Salinity_Polyhaline","Salinity Polyhaline",NA
"benthic_sampling_event_habitat_summaries.csv","Salinity_NA","Salinity NA",NA
"benthic_sampling_event_habitat_summaries.csv","Oxygen_NA","Oxygen NA",NA
"benthic_sampling_event_habitat_summaries.csv","EUNIScomb_A3.1","EUNIScomb A3.1",NA
"benthic_sampling_event_habitat_summaries.csv","EUNIScomb_A3.2","EUNIScomb A3.2",NA
"benthic_sampling_event_habitat_summaries.csv","EUNIScomb_A3.3","EUNIScomb A3.3",NA
"benthic_sampling_event_habitat_summaries.csv","EUNIScomb_A3.4","EUNIScomb A3.4",NA
"benthic_sampling_event_habitat_summaries.csv","EUNIScomb_A3.5","EUNIScomb A3.5",NA
"benthic_sampling_event_habitat_summaries.csv","EUNIScomb_A3.6","EUNIScomb A3.6",NA
"benthic_sampling_event_habitat_summaries.csv","EUNIScomb_A4","EUNIScomb A4",NA
"benthic_sampling_event_habitat_summaries.csv","EUNIScomb_A4.1","EUNIScomb A4.1",NA
"benthic_sampling_event_habitat_summaries.csv","EUNIScomb_A4.2","EUNIScomb A4.2",NA
"benthic_sampling_event_habitat_summaries.csv","EUNIScomb_A4.27","EUNIScomb A4.27",NA
"benthic_sampling_event_habitat_summaries.csv","EUNIScomb_A4.3","EUNIScomb A4.3",NA
"benthic_sampling_event_habitat_summaries.csv","EUNIScomb_A4.33","EUNIScomb A4.33",NA
"benthic_sampling_event_habitat_summaries.csv","EUNIScomb_A4.4","EUNIScomb A4.4",NA
"benthic_sampling_event_habitat_summaries.csv","EUNIScomb_A4.5","EUNIScomb A4.5",NA
"benthic_sampling_event_habitat_summaries.csv","EUNIScomb_A4.6","EUNIScomb A4.6",NA
"benthic_sampling_event_habitat_summaries.csv","EUNIScomb_A5","EUNIScomb A5",NA
"benthic_sampling_event_habitat_summaries.csv","EUNIScomb_A5.13","EUNIScomb A5.13",NA
"benthic_sampling_event_habitat_summaries.csv","EUNIScomb_A5.14","EUNIScomb A5.14",NA
"benthic_sampling_event_habitat_summaries.csv","EUNIScomb_A5.15","EUNIScomb A5.15",NA
"benthic_sampling_event_habitat_summaries.csv","EUNIScomb_A5.23","EUNIScomb A5.23",NA
"benthic_sampling_event_habitat_summaries.csv","EUNIScomb_A5.23 or A5.24","EUNIScomb A5.23 or A5.24",NA
"benthic_sampling_event_habitat_summaries.csv","EUNIScomb_A5.24","EUNIScomb A5.24",NA
"benthic_sampling_event_habitat_summaries.csv","EUNIScomb_A5.24 or A5.33 or A5.34","EUNIScomb A5.24 or A5.33 or A5.34",NA
"benthic_sampling_event_habitat_summaries.csv","EUNIScomb_A5.25","EUNIScomb A5.25",NA
"benthic_sampling_event_habitat_summaries.csv","EUNIScomb_A5.25 or A5.26","EUNIScomb A5.25 or A5.26",NA
"benthic_sampling_event_habitat_summaries.csv","EUNIScomb_A5.26","EUNIScomb A5.26",NA
"benthic_sampling_event_habitat_summaries.csv","EUNIScomb_A5.26 or A5.35 or A5.36","EUNIScomb A5.26 or A5.35 or A5.36",NA
"benthic_sampling_event_habitat_summaries.csv","EUNIScomb_A5.27","EUNIScomb A5.27",NA
"benthic_sampling_event_habitat_summaries.csv","EUNIScomb_A5.27 or A5.37","EUNIScomb A5.27 or A5.37",NA
"benthic_sampling_event_habitat_summaries.csv","EUNIScomb_A5.33","EUNIScomb A5.33",NA
"benthic_sampling_event_habitat_summaries.csv","EUNIScomb_A5.34","EUNIScomb A5.34",NA
"benthic_sampling_event_habitat_summaries.csv","EUNIScomb_A5.35","EUNIScomb A5.35",NA
"benthic_sampling_event_habitat_summaries.csv","EUNIScomb_A5.36","EUNIScomb A5.36",NA
"benthic_sampling_event_habitat_summaries.csv","EUNIScomb_A5.37","EUNIScomb A5.37",NA
"benthic_sampling_event_habitat_summaries.csv","EUNIScomb_A5.43","EUNIScomb A5.43",NA
"benthic_sampling_event_habitat_summaries.csv","EUNIScomb_A5.44","EUNIScomb A5.44",NA
"benthic_sampling_event_habitat_summaries.csv","EUNIScomb_A5.45","EUNIScomb A5.45",NA
"benthic_sampling_event_habitat_summaries.csv","EUNIScomb_A6","EUNIScomb A6",NA
"benthic_sampling_event_habitat_summaries.csv","EUNIScomb_A6.11","EUNIScomb A6.11",NA
"benthic_sampling_event_habitat_summaries.csv","EUNIScomb_A6.2","EUNIScomb A6.2",NA
"benthic_sampling_event_habitat_summaries.csv","EUNIScomb_A6.3 or A6.4","EUNIScomb A6.3 or A6.4",NA
"benthic_sampling_event_habitat_summaries.csv","EUNIScomb_A6.5","EUNIScomb A6.5",NA
"benthic_sampling_event_habitat_summaries.csv","EUNIScomb_Na","EUNIScomb Na",NA
